mz	count
300	9
301	33
302	36
303	42
304	40
305	36
306	56
307	42
308	46
309	60
310	35
311	51
312	42
313	49
314	51
315	72
316	50
317	66
318	56
319	69
320	63
321	72
322	56
323	59
324	83
325	68
326	62
327	69
328	63
329	81
330	88
331	86
332	59
333	80
334	86
335	82
336	87
337	111
338	99
339	100
340	109
341	90
342	86
343	82
344	95
345	101
346	85
347	103
348	122
349	121
350	100
351	120
352	120
353	113
354	134
355	108
356	127
357	118
358	133
359	140
360	132
361	112
362	124
363	133
364	126
365	162
366	147
367	146
368	139
369	144
370	145
371	116
372	127
373	171
374	155
375	144
376	154
377	158
378	146
379	179
380	185
381	183
382	196
383	196
384	166
385	126
386	195
387	210
388	179
389	181
390	162
391	154
392	177
393	191
394	220
395	217
396	212
397	222
398	185
399	154
400	187
401	242
402	194
403	177
404	191
405	210
406	180
407	218
408	234
409	249
410	239
411	250
412	229
413	187
414	180
415	253
416	226
417	233
418	236
419	227
420	183
421	197
422	224
423	253
424	262
425	255
426	246
427	214
428	183
429	239
430	252
431	261
432	273
433	262
434	227
435	216
436	247
437	290
438	282
439	331
440	278
441	223
442	228
443	251
444	227
445	242
446	251
447	272
448	243
449	226
450	259
451	269
452	259
453	319
454	271
455	244
456	253
457	233
458	272
459	237
460	274
461	276
462	248
463	225
464	272
465	326
466	298
467	302
468	317
469	274
470	229
471	220
472	245
473	285
474	238
475	289
476	276
477	245
478	254
479	314
480	292
481	301
482	311
483	314
484	266
485	268
486	277
487	295
488	309
489	295
490	279
491	263
492	269
493	302
494	288
495	301
496	309
497	298
498	277
499	294
500	284
501	303
502	289
503	276
504	283
505	282
506	242
507	260
508	329
509	308
510	301
511	310
512	298
513	275
514	247
515	284
516	303
517	294
518	300
519	267
520	284
521	303
522	272
523	322
524	324
525	317
526	315
527	298
528	274
529	288
530	316
531	295
532	283
533	320
534	284
535	255
536	303
537	330
538	319
539	326
540	317
541	293
542	307
543	283
544	331
545	294
546	295
547	278
548	286
549	315
550	264
551	310
552	349
553	310
554	337
555	309
556	280
557	285
558	324
559	305
560	343
561	325
562	260
563	276
564	271
565	317
566	308
567	281
568	327
569	292
570	289
571	300
572	326
573	309
574	304
575	299
576	305
577	275
578	281
579	319
580	332
581	295
582	331
583	301
584	306
585	304
586	292
587	298
588	312
589	306
590	295
591	317
592	294
593	344
594	293
595	316
596	347
597	303
598	301
599	292
600	293
601	297
602	329
603	293
604	315
605	279
606	295
607	264
608	291
609	322
610	281
611	323
612	291
613	291
614	285
615	311
616	288
617	296
618	283
619	268
620	281
621	256
622	306
623	297
624	286
625	299
626	307
627	289
628	283
629	281
630	297
631	291
632	318
633	309
634	267
635	292
636	289
637	311
638	330
639	309
640	316
641	272
642	280
643	287
644	292
645	297
646	295
647	287
648	328
649	291
650	292
651	278
652	313
653	273
654	282
655	278
656	293
657	258
658	281
659	279
660	259
661	316
662	284
663	276
664	270
665	299
666	297
667	308
668	311
669	280
670	284
671	263
672	256
673	274
674	262
675	273
676	299
677	282
678	273
679	311
680	288
681	294
682	241
683	330
684	256
685	289
686	286
687	287
688	279
689	273
690	294
691	279
692	278
693	272
694	294
695	278
696	259
697	288
698	274
699	278
700	280
701	271
702	276
703	247
704	262
705	235
706	255
707	280
708	265
709	275
710	304
711	277
712	251
713	262
714	255
715	279
716	251
717	258
718	261
719	256
720	257
721	245
722	272
723	239
724	254
725	238
726	262
727	248
728	215
729	262
730	245
731	250
732	248
733	212
734	231
735	238
736	260
737	255
738	256
739	265
740	246
741	250
742	227
743	245
744	252
745	246
746	244
747	237
748	203
749	248
750	223
751	259
752	253
753	231
754	215
755	222
756	222
757	231
758	233
759	235
760	197
761	233
762	213
763	246
764	236
765	229
766	224
767	251
768	238
769	222
770	219
771	230
772	237
773	220
774	236
775	259
776	250
777	221
778	229
779	250
780	237
781	215
782	218
783	203
784	196
785	221
786	225
787	209
788	233
789	202
790	217
791	191
792	202
793	214
794	213
795	230
796	223
797	239
798	220
799	204
800	224
801	194
802	203
803	205
804	219
805	200
806	189
807	199
808	207
809	210
810	216
811	206
812	191
813	207
814	196
815	209
816	224
817	212
818	197
819	195
820	175
821	203
822	211
823	192
824	194
825	211
826	214
827	225
828	224
829	184
830	191
831	208
832	161
833	194
834	188
835	182
836	177
837	179
838	198
839	185
840	177
841	183
842	150
843	195
844	212
845	160
846	190
847	197
848	177
849	192
850	196
851	183
852	177
853	155
854	171
855	182
856	182
857	176
858	196
859	185
860	184
861	170
862	170
863	184
864	171
865	179
866	174
867	169
868	168
869	174
870	182
871	161
872	170
873	162
874	190
875	146
876	163
877	154
878	163
879	175
880	139
881	152
882	143
883	178
884	164
885	131
886	142
887	169
888	149
889	163
890	147
891	150
892	144
893	167
894	154
895	163
896	144
897	165
898	135
899	135
900	157
901	143
902	140
903	160
904	149
905	139
906	150
907	149
908	137
909	159
910	154
911	146
912	146
913	133
914	146
915	145
916	128
917	128
918	125
919	151
920	125
921	164
922	149
923	143
924	163
925	138
926	137
927	112
928	139
929	140
930	141
931	134
932	113
933	134
934	141
935	124
936	121
937	132
938	128
939	140
940	146
941	123
942	136
943	128
944	150
945	137
946	127
947	148
948	117
949	131
950	122
951	138
952	124
953	127
954	118
955	123
956	127
957	120
958	120
959	110
960	136
961	119
962	128
963	125
964	106
965	112
966	120
967	129
968	119
969	125
970	132
971	109
972	103
973	119
974	104
975	88
976	120
977	101
978	98
979	106
980	110
981	108
982	96
983	105
984	95
985	96
986	108
987	105
988	104
989	113
990	106
991	102
992	118
993	90
994	87
995	110
996	92
997	99
998	97
999	94
1000	106
1001	114
1002	102
1003	97
1004	101
1005	93
1006	79
1007	101
1008	84
1009	90
1010	83
1011	105
1012	85
1013	94
1014	88
1015	94
1016	77
1017	86
1018	87
1019	80
1020	77
1021	85
1022	90
1023	87
1024	92
1025	82
1026	85
1027	78
1028	82
1029	90
1030	83
1031	86
1032	82
1033	83
1034	79
1035	81
1036	86
1037	76
1038	102
1039	83
1040	90
1041	92
1042	87
1043	97
1044	76
1045	88
1046	95
1047	93
1048	84
1049	67
1050	82
1051	74
1052	75
1053	88
1054	71
1055	100
1056	82
1057	69
1058	71
1059	65
1060	79
1061	64
1062	74
1063	72
1064	79
1065	79
1066	79
1067	66
1068	69
1069	76
1070	66
1071	81
1072	71
1073	87
1074	73
1075	57
1076	71
1077	63
1078	70
1079	72
1080	61
1081	59
1082	72
1083	59
1084	72
1085	51
1086	77
1087	77
1088	49
1089	67
1090	63
1091	76
1092	55
1093	51
1094	66
1095	65
1096	71
1097	77
1098	64
1099	58
1100	67
1101	53
1102	89
1103	63
1104	57
1105	61
1106	54
1107	58
1108	49
1109	55
1110	60
1111	46
1112	62
1113	60
1114	60
1115	61
1116	49
1117	57
1118	53
1119	45
1120	56
1121	41
1122	64
1123	70
1124	45
1125	48
1126	47
1127	55
1128	67
1129	47
1130	51
1131	69
1132	54
1133	41
1134	56
1135	55
1136	52
1137	52
1138	51
1139	46
1140	45
1141	62
1142	40
1143	56
1144	46
1145	40
1146	50
1147	46
1148	41
1149	40
1150	42
1151	42
1152	42
1153	38
1154	47
1155	45
1156	45
1157	53
1158	45
1159	52
1160	33
1161	29
1162	42
1163	51
1164	41
1165	38
1166	51
1167	53
1168	44
1169	41
1170	50
1171	24
1172	40
1173	33
1174	30
1175	41
1176	33
1177	49
1178	36
1179	39
1180	31
1181	29
1182	27
1183	33
1184	32
1185	25
1186	37
1187	42
1188	35
1189	38
1190	26
1191	39
1192	37
1193	34
1194	35
1195	32
1196	33
1197	32
1198	30
1199	33
1200	31
1201	41
1202	32
1203	26
1204	19
1205	33
1206	26
1207	24
1208	25
1209	28
1210	33
1211	23
1212	26
1213	29
1214	32
1215	24
1216	29
1217	31
1218	24
1219	24
1220	30
1221	22
1222	25
1223	41
1224	26
1225	16
1226	21
1227	26
1228	34
1229	25
1230	24
1231	30
1232	29
1233	36
1234	33
1235	20
1236	20
1237	30
1238	31
1239	21
1240	24
1241	19
1242	28
1243	15
1244	29
1245	19
1246	25
1247	25
1248	25
1249	18
1250	27
1251	29
1252	24
1253	21
1254	23
1255	22
1256	14
1257	18
1258	25
1259	21
1260	17
1261	10
1262	20
1263	21
1264	15
1265	23
1266	17
1267	17
1268	18
1269	19
1270	25
1271	15
1272	17
1273	18
1274	18
1275	11
1276	15
1277	14
1278	14
1279	12
1280	17
1281	13
1282	23
1283	12
1284	16
1285	11
1286	13
1287	17
1288	23
1289	12
1290	8
1291	18
1292	23
1293	11
1294	12
1295	18
1296	14
1297	9
1298	10
1299	15
1300	23
1301	17
1302	14
1303	19
1304	13
1305	19
1306	18
1307	10
1308	8
1309	18
1310	9
1311	10
1312	16
1313	15
1314	18
1315	15
1316	11
1317	19
1318	16
1319	12
1320	7
1321	5
1322	14
1323	15
1324	11
1325	9
1326	8
1327	11
1328	15
1329	13
1330	13
1331	12
1332	14
1333	20
1334	12
1335	11
1336	14
1337	12
1338	9
1339	10
1340	12
1341	16
1342	10
1343	13
1344	16
1345	9
